,month,week,hour,access_count
447,5,Thursday,7,471
448,5,Thursday,6,399
449,5,Thursday,5,170
450,5,Thursday,4,25
451,5,Thursday,3,6
452,5,Thursday,2,7
453,5,Thursday,1,4
454,5,Thursday,0,3
455,5,Sunday,23,89
456,5,Sunday,22,240
457,5,Sunday,21,304
458,5,Sunday,20,216
459,5,Sunday,19,167
460,5,Sunday,18,338
461,5,Sunday,17,460
462,5,Sunday,16,312
463,5,Sunday,15,456
464,5,Sunday,14,328
465,5,Sunday,13,210
466,5,Sunday,12,273
467,5,Sunday,11,523
468,5,Sunday,10,514
469,5,Sunday,9,601
470,5,Sunday,8,758
471,5,Sunday,7,664
472,5,Sunday,6,484
473,5,Sunday,5,168
474,5,Sunday,4,28
475,5,Sunday,3,9
476,5,Sunday,2,10
477,5,Sunday,1,11
478,5,Sunday,0,23
479,5,Saturday,23,70
480,5,Saturday,22,255
481,5,Saturday,21,337
482,5,Saturday,20,262
483,5,Saturday,19,251
484,5,Saturday,18,420
485,5,Saturday,17,540
486,5,Saturday,16,369
487,5,Saturday,15,605
488,5,Saturday,14,471
489,5,Saturday,13,274
490,5,Saturday,12,272
491,5,Saturday,11,435
492,5,Saturday,10,557
493,5,Saturday,9,646
494,5,Saturday,8,879
495,5,Saturday,7,711
496,5,Saturday,6,561
497,5,Saturday,5,158
498,5,Saturday,4,17
499,5,Saturday,3,7
500,5,Saturday,2,9
501,5,Saturday,1,3
502,5,Saturday,0,6
503,5,Monday,23,33
504,5,Monday,22,102
505,5,Monday,21,193
506,5,Monday,20,211
507,5,Monday,19,223
508,5,Monday,18,201
509,5,Monday,17,246
510,5,Monday,16,242
511,5,Monday,15,231
512,5,Monday,14,269
513,5,Monday,13,132
514,5,Monday,12,63
515,5,Monday,11,126
516,5,Monday,10,259
517,5,Monday,9,277
518,5,Monday,8,365
519,5,Monday,7,394
520,5,Monday,6,341
521,5,Monday,5,123
522,5,Monday,4,8
523,5,Monday,3,4
524,5,Monday,2,2
525,5,Monday,1,5
526,5,Monday,0,14
527,5,Friday,23,48
528,5,Friday,22,160
529,5,Friday,21,253
530,5,Friday,20,250
531,5,Friday,19,275
532,5,Friday,18,208
533,5,Friday,17,263
534,5,Friday,16,289
535,5,Friday,15,302
536,5,Friday,14,295
537,5,Friday,13,162
538,5,Friday,12,103
539,5,Friday,11,197
540,5,Friday,10,353
541,5,Friday,9,370
542,5,Friday,8,511
543,5,Friday,7,631
544,5,Friday,6,462
545,5,Friday,5,185
546,5,Friday,4,8
547,5,Friday,3,3
548,5,Friday,2,3
549,5,Friday,1,1
550,5,Friday,0,18
551,4,Wednesday,23,34
552,4,Wednesday,22,141
553,4,Wednesday,21,227
554,4,Wednesday,20,171
555,4,Wednesday,19,193
556,4,Wednesday,18,250
557,4,Wednesday,17,253
558,4,Wednesday,16,323
559,4,Wednesday,15,452
560,4,Wednesday,14,328
561,4,Wednesday,13,154
562,4,Wednesday,12,116
563,4,Wednesday,11,209
564,4,Wednesday,10,305
565,4,Wednesday,9,345
566,4,Wednesday,8,400
567,4,Wednesday,7,480
568,4,Wednesday,6,408
569,4,Wednesday,5,145
570,4,Wednesday,4,17
571,4,Wednesday,3,1
572,4,Wednesday,2,4
573,4,Wednesday,1,5
574,4,Wednesday,0,4
575,4,Tuesday,23,23
576,4,Tuesday,22,123
577,4,Tuesday,21,143
578,4,Tuesday,20,162
579,4,Tuesday,19,196
580,4,Tuesday,18,181
581,4,Tuesday,17,255
582,4,Tuesday,16,285
583,4,Tuesday,15,291
584,4,Tuesday,14,232
585,4,Tuesday,13,126
586,4,Tuesday,12,99
587,4,Tuesday,11,126
588,4,Tuesday,10,227
589,4,Tuesday,9,284
590,4,Tuesday,8,401
591,4,Tuesday,7,422
592,4,Tuesday,6,358
593,4,Tuesday,5,113
594,4,Tuesday,4,18
595,4,Tuesday,3,1
596,4,Tuesday,2,7
597,4,Tuesday,1,1
598,4,Tuesday,0,5
599,4,Thursday,23,29
600,4,Thursday,22,129
601,4,Thursday,21,214
602,4,Thursday,20,205
603,4,Thursday,19,274
604,4,Thursday,18,185
605,4,Thursday,17,234
606,4,Thursday,16,245
607,4,Thursday,15,269
608,4,Thursday,14,264
609,4,Thursday,13,193
610,4,Thursday,12,105
611,4,Thursday,11,179
612,4,Thursday,10,263
613,4,Thursday,9,376
614,4,Thursday,8,463
615,4,Thursday,7,530
616,4,Thursday,6,433
617,4,Thursday,5,180
618,4,Thursday,4,30
619,4,Thursday,3,6
620,4,Thursday,2,4
621,4,Thursday,1,8
622,4,Thursday,0,13
623,4,Sunday,23,60
624,4,Sunday,22,179
625,4,Sunday,21,221
626,4,Sunday,20,152
627,4,Sunday,19,88
628,4,Sunday,18,198
629,4,Sunday,17,284
630,4,Sunday,16,296
631,4,Sunday,15,317
632,4,Sunday,14,176
633,4,Sunday,13,120
634,4,Sunday,12,226
635,4,Sunday,11,354
636,4,Sunday,10,368
637,4,Sunday,9,443
638,4,Sunday,8,514
639,4,Sunday,7,478
640,4,Sunday,6,331
641,4,Sunday,5,112
642,4,Sunday,4,30
643,4,Sunday,3,5
644,4,Sunday,2,6
645,4,Sunday,1,2
646,4,Sunday,0,22
647,4,Saturday,23,47
648,4,Saturday,22,164
649,4,Saturday,21,225
650,4,Saturday,20,175
651,4,Saturday,19,119
652,4,Saturday,18,247
653,4,Saturday,17,365
654,4,Saturday,16,314
655,4,Saturday,15,377
656,4,Saturday,14,234
657,4,Saturday,13,191
658,4,Saturday,12,187
659,4,Saturday,11,338
660,4,Saturday,10,407
661,4,Saturday,9,503
662,4,Saturday,8,549
663,4,Saturday,7,467
664,4,Saturday,6,402
665,4,Saturday,5,103
666,4,Saturday,4,19
667,4,Saturday,3,5
668,4,Saturday,2,5
669,4,Saturday,1,1
670,4,Saturday,0,7
671,4,Monday,23,21
672,4,Monday,22,86
673,4,Monday,21,150
674,4,Monday,20,164
675,4,Monday,19,187
676,4,Monday,18,175
677,4,Monday,17,196
678,4,Monday,16,186
679,4,Monday,15,198
680,4,Monday,14,222
681,4,Monday,13,122
682,4,Monday,12,78
683,4,Monday,11,130
684,4,Monday,10,206
685,4,Monday,9,297
686,4,Monday,8,318
687,4,Monday,7,392
688,4,Monday,6,309
689,4,Monday,5,123
690,4,Monday,4,12
691,4,Monday,3,4
692,4,Monday,1,11
693,4,Monday,0,16
694,4,Friday,23,28
695,4,Friday,22,102
696,4,Friday,21,136
697,4,Friday,20,159
698,4,Friday,19,148
699,4,Friday,18,118
700,4,Friday,17,133
701,4,Friday,16,176
702,4,Friday,15,165
703,4,Friday,14,184
704,4,Friday,13,132
705,4,Friday,12,79
706,4,Friday,11,130
707,4,Friday,10,267
708,4,Friday,9,290
709,4,Friday,8,373
710,4,Friday,7,423
711,4,Friday,6,300
712,4,Friday,5,126
713,4,Friday,4,8
714,4,Friday,3,1
715,4,Friday,2,2
716,4,Friday,1,1
717,4,Friday,0,9
718,3,Wednesday,23,18
719,3,Wednesday,22,51
720,3,Wednesday,21,86
721,3,Wednesday,20,91
722,3,Wednesday,19,111
723,3,Wednesday,18,129
724,3,Wednesday,17,137
725,3,Wednesday,16,102
726,3,Wednesday,15,188
727,3,Wednesday,14,175
728,3,Wednesday,13,96
729,3,Wednesday,12,77
730,3,Wednesday,11,96
731,3,Wednesday,10,188
732,3,Wednesday,9,169
733,3,Wednesday,8,232
734,3,Wednesday,7,232
735,3,Wednesday,6,142
736,3,Wednesday,5,53
737,3,Wednesday,4,12
738,3,Wednesday,3,1
739,3,Wednesday,1,4
740,3,Wednesday,0,8
741,3,Tuesday,23,24
742,3,Tuesday,22,69
743,3,Tuesday,21,97
744,3,Tuesday,20,117
745,3,Tuesday,19,139
746,3,Tuesday,18,175
747,3,Tuesday,17,211
748,3,Tuesday,16,168
749,3,Tuesday,15,217
750,3,Tuesday,14,205
751,3,Tuesday,13,122
752,3,Tuesday,12,85
753,3,Tuesday,11,136
754,3,Tuesday,10,209
755,3,Tuesday,9,271
756,3,Tuesday,8,340
757,3,Tuesday,7,304
758,3,Tuesday,6,238
759,3,Tuesday,5,72
760,3,Tuesday,4,6
761,3,Tuesday,3,1
762,3,Tuesday,2,2
763,3,Tuesday,1,4
764,3,Tuesday,0,6
765,3,Thursday,23,15
766,3,Thursday,22,52
767,3,Thursday,21,80
768,3,Thursday,20,97
769,3,Thursday,19,126
770,3,Thursday,18,105
771,3,Thursday,17,108
772,3,Thursday,16,100
773,3,Thursday,15,107
774,3,Thursday,14,126
775,3,Thursday,13,105
776,3,Thursday,12,64
777,3,Thursday,11,108
778,3,Thursday,10,179
779,3,Thursday,9,198
780,3,Thursday,8,251
781,3,Thursday,7,292
782,3,Thursday,6,203
783,3,Thursday,5,72
784,3,Thursday,4,19
785,3,Thursday,3,1
786,3,Thursday,2,4
787,3,Thursday,1,8
788,3,Thursday,0,9
789,3,Sunday,23,75
790,3,Sunday,22,181
791,3,Sunday,21,232
792,3,Sunday,20,160
793,3,Sunday,19,110
794,3,Sunday,18,200
795,3,Sunday,17,245
796,3,Sunday,16,145
797,3,Sunday,15,234
798,3,Sunday,14,231
799,3,Sunday,13,109
800,3,Sunday,12,120
801,3,Sunday,11,283
802,3,Sunday,10,454
803,3,Sunday,9,402
804,3,Sunday,8,461
805,3,Sunday,7,433
806,3,Sunday,6,262
807,3,Sunday,5,84
808,3,Sunday,4,30
809,3,Sunday,3,6
810,3,Sunday,2,3
811,3,Sunday,1,4
812,3,Sunday,0,25
813,3,Saturday,23,47
814,3,Saturday,22,124
815,3,Saturday,21,204
816,3,Saturday,20,142
817,3,Saturday,19,102
818,3,Saturday,18,170
819,3,Saturday,17,225
820,3,Saturday,16,153
821,3,Saturday,15,223
822,3,Saturday,14,206
823,3,Saturday,13,126
824,3,Saturday,12,87
825,3,Saturday,11,210
826,3,Saturday,10,346
827,3,Saturday,9,358
828,3,Saturday,8,389
829,3,Saturday,7,314
830,3,Saturday,6,258
831,3,Saturday,5,63
832,3,Saturday,4,19
833,3,Saturday,3,2
834,3,Saturday,2,1
835,3,Saturday,1,5
836,3,Saturday,0,7
837,3,Monday,23,16
838,3,Monday,22,60
839,3,Monday,21,105
840,3,Monday,20,118
841,3,Monday,19,168
842,3,Monday,18,141
843,3,Monday,17,125
844,3,Monday,16,152
845,3,Monday,15,109
846,3,Monday,14,140
847,3,Monday,13,106
848,3,Monday,12,88
849,3,Monday,11,107
850,3,Monday,10,233
851,3,Monday,9,245
852,3,Monday,8,269
853,3,Monday,7,299
854,3,Monday,6,266
855,3,Monday,5,83
856,3,Monday,4,11
857,3,Monday,3,1
858,3,Monday,2,1
859,3,Monday,1,6
860,3,Monday,0,21
861,3,Friday,23,14
862,3,Friday,22,52
863,3,Friday,21,84
864,3,Friday,20,84
865,3,Friday,19,110
866,3,Friday,18,100
867,3,Friday,17,115
868,3,Friday,16,129
869,3,Friday,15,114
870,3,Friday,14,101
871,3,Friday,13,115
872,3,Friday,12,71
873,3,Friday,11,116
874,3,Friday,10,175
875,3,Friday,9,213
876,3,Friday,8,262
877,3,Friday,7,241
878,3,Friday,6,192
879,3,Friday,5,69
880,3,Friday,4,9
881,3,Friday,2,2
882,3,Friday,1,6
883,3,Friday,0,5
884,2,Wednesday,23,7
885,2,Wednesday,22,15
886,2,Wednesday,21,8
887,2,Wednesday,20,44
888,2,Wednesday,19,78
889,2,Wednesday,18,110
890,2,Wednesday,17,104
891,2,Wednesday,16,117
892,2,Wednesday,15,123
893,2,Wednesday,14,106
894,2,Wednesday,13,63
895,2,Wednesday,12,62
896,2,Wednesday,11,97
897,2,Wednesday,10,135
898,2,Wednesday,9,142
899,2,Wednesday,8,148
900,2,Wednesday,7,115
901,2,Wednesday,6,56
902,2,Wednesday,5,12
903,2,Wednesday,4,3
904,2,Wednesday,2,2
905,2,Wednesday,1,1
906,2,Tuesday,23,5
907,2,Tuesday,22,5
908,2,Tuesday,21,15
909,2,Tuesday,20,33
910,2,Tuesday,19,67
911,2,Tuesday,18,116
912,2,Tuesday,17,99
913,2,Tuesday,16,100
914,2,Tuesday,15,129
915,2,Tuesday,14,103
916,2,Tuesday,13,80
917,2,Tuesday,12,43
918,2,Tuesday,11,71
919,2,Tuesday,10,125
920,2,Tuesday,9,142
921,2,Tuesday,8,172
922,2,Tuesday,7,151
923,2,Tuesday,6,67
924,2,Tuesday,5,18
925,2,Tuesday,4,1
926,2,Tuesday,0,4
927,2,Thursday,23,5
928,2,Thursday,22,13
929,2,Thursday,21,16
930,2,Thursday,20,53
931,2,Thursday,19,76
932,2,Thursday,18,72
933,2,Thursday,17,80
934,2,Thursday,16,68
935,2,Thursday,15,79
936,2,Thursday,14,82
937,2,Thursday,13,63
938,2,Thursday,12,51
939,2,Thursday,11,113
940,2,Thursday,10,128
941,2,Thursday,9,177
942,2,Thursday,8,172
943,2,Thursday,7,170
944,2,Thursday,6,74
945,2,Thursday,5,33
946,2,Thursday,4,4
947,2,Thursday,3,1
948,2,Thursday,1,6
949,2,Thursday,0,5
950,2,Sunday,23,70
951,2,Sunday,22,136
952,2,Sunday,21,116
953,2,Sunday,20,60
954,2,Sunday,19,49
955,2,Sunday,18,109
956,2,Sunday,17,113
957,2,Sunday,16,83
958,2,Sunday,15,160
959,2,Sunday,14,107
960,2,Sunday,13,74
961,2,Sunday,12,75
962,2,Sunday,11,182
963,2,Sunday,10,249
964,2,Sunday,9,247
965,2,Sunday,8,267
966,2,Sunday,7,207
967,2,Sunday,6,127
968,2,Sunday,5,35
969,2,Sunday,4,12
970,2,Sunday,3,5
971,2,Sunday,2,4
972,2,Sunday,1,6
973,2,Sunday,0,20
974,2,Saturday,23,59
975,2,Saturday,22,153
976,2,Saturday,21,175
977,2,Saturday,20,64
978,2,Saturday,19,86
979,2,Saturday,18,153
980,2,Saturday,17,163
981,2,Saturday,16,127
982,2,Saturday,15,220
983,2,Saturday,14,187
984,2,Saturday,13,106
985,2,Saturday,12,91
986,2,Saturday,11,227
987,2,Saturday,10,274
988,2,Saturday,9,373
989,2,Saturday,8,312
990,2,Saturday,7,257
991,2,Saturday,6,116
992,2,Saturday,5,27
993,2,Saturday,4,5
994,2,Saturday,3,1
995,2,Saturday,1,2
996,2,Saturday,0,2
997,2,Monday,23,2
998,2,Monday,22,16
999,2,Monday,21,24
1000,2,Monday,20,41
1001,2,Monday,19,78
1002,2,Monday,18,66
1003,2,Monday,17,57
1004,2,Monday,16,71
1005,2,Monday,15,56
1006,2,Monday,14,79
1007,2,Monday,13,56
1008,2,Monday,12,50
1009,2,Monday,11,119
1010,2,Monday,10,127
1011,2,Monday,9,158
1012,2,Monday,8,134
1013,2,Monday,7,156
1014,2,Monday,6,118
1015,2,Monday,5,30
1016,2,Monday,4,7
1017,2,Monday,3,3
1018,2,Monday,2,1
1019,2,Monday,1,4
1020,2,Monday,0,19
1021,2,Friday,23,7
1022,2,Friday,22,10
1023,2,Friday,21,19
1024,2,Friday,20,40
1025,2,Friday,19,70
1026,2,Friday,18,58
1027,2,Friday,17,74
1028,2,Friday,16,99
1029,2,Friday,15,96
1030,2,Friday,14,74
1031,2,Friday,13,66
1032,2,Friday,12,67
1033,2,Friday,11,101
1034,2,Friday,10,138
1035,2,Friday,9,171
1036,2,Friday,8,167
1037,2,Friday,7,128
1038,2,Friday,6,70
1039,2,Friday,5,23
1040,2,Friday,4,8
1041,2,Friday,1,5
1042,2,Friday,0,4
1043,1,Wednesday,23,5
1044,1,Wednesday,22,8
1045,1,Wednesday,21,16
1046,1,Wednesday,20,18
1047,1,Wednesday,19,42
1048,1,Wednesday,18,37
1049,1,Wednesday,17,33
1050,1,Wednesday,16,51
1051,1,Wednesday,15,29
1052,1,Wednesday,14,19
1053,1,Wednesday,13,16
1054,1,Wednesday,12,16
1055,1,Wednesday,11,54
1056,1,Wednesday,10,57
1057,1,Wednesday,9,57
1058,1,Wednesday,8,100
1059,1,Wednesday,7,77
1060,1,Wednesday,6,34
1061,1,Wednesday,5,14
1062,1,Wednesday,4,2
1063,1,Tuesday,23,6
1064,1,Tuesday,22,5
1065,1,Tuesday,21,3
